ADD_FULL,POSTAL_CD,X,Y,LONGITUDE,LATITUDE,OBJECTID,FACI_NAM,FACI_TYPE,UNIT,UNIT_TYPE,DEV_LOC,DEV_COUNT
101 Coxwell Ave,M4L 3B3,319517.89,4836374.719,-79.31729935,43.66918002,267,TPS - 55 Division,Law enforcement agency,,,Front Lobby - West,2
101 Mason Blvd,M5M 3E2,311980.539,4844375.179,-79.41065981,43.74130492,268,Loretto Abbey Catholic H.S,School,,,near main office,1
105 Norseman St,M8Z 2R1,303466.404,4832485.423,-79.51633302,43.63431384,269,Norseman CS & Pool,Recreation or Sports Facility,,,Admin Office,1
111 Sun Row Dr,M9P 3J3,301813.733,4838256.082,-79.53684796,43.68625201,271,Father Serra Catholic School,School,,,Outside Office,1
255 Alton Towers Crcl,M1V 4E7,322564.679,4853737.362,-79.27894753,43.82539768,381,Prince of Peace Catholic School,School,,,Outside Office,1
292 Manse Rd,M1E 3V4,330793.529,4847483.451,-79.17694153,43.76886422,397,Heron Park CRC,Recreation or Sports Facility,,,Reception,1
319 Ossington Ave,M6J 3A6,311155.554,4834412.961,-79.42101943,43.65163995,406,TCDSB - St. Luke,School,,,Outside Main Office,1
340 College St,M5T 3A9,312570.842,4835074.523,-79.40346391,43.65758149,416,Public Health- College St.,Medical Facility,370,STE,Reception - 3rd Floor,1
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,427,Toronto Zoo (Security),Entertainment Facility,,,Mobile Response,10
375 Cedarvale Ave,M4C 4K7,319608.002,4839633.05,-79.31609268,43.69850668,443,Kiwanis ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
146 The East Mall,M8Z 5V5,300744.266,4831305.325,-79.55006115,43.62368229,303,Animal Services West,Office,,,By employee Entrance,1
150 Harrison St,M6J 2A4,310839.776,4834300.817,-79.42493517,43.65063317,312,TPS - 14 Division,Law enforcement agency,,,Front Desk,1
160 Transit Rd,M3H 6C3,308527.855,4843827.208,-79.45352973,43.73639751,323,TTC - Wilson Track And Structu,Transportation Facility,,,Shop Door (#12),4
180 Chalkfarm Dr,M3L 2H8,303832.597,4842454.334,-79.51181503,43.72404844,335,Chalkfarm CC,Recreation or Sports Facility,,,Main Lobby,1
140 Bay St,M5J 2L5,314540.03,4833721.828,-79.37907162,43.64537352,295,Go Transit - Union Station,Transportation Facility,,,customer service area,2
145 Guildwood Pkwy,M1E 1P5,329187.932,4845053.067,-79.19699466,43.74704211,298,Sir Wilfred Laurier CI,School,,,Outside Main Office,2
146 Isabella St,M4Y 1P6,314690.777,4836435.656,-79.3771566,43.66980805,300,TCDSB-Monsignor Fraser - Isabe,School,,,Main Entrance,1
20 Beverly Hills Dr,M3L 1A1,303964.083,4841883.578,-79.51018197,43.71891086,76,St. Philip Neri Catholic School,School,,,Outside Main Office,1
20 The Queensway,M6R 1B4,308977.64,4833055.594,-79.44802831,43.63943669,78,TTC - Roncesvalles Carhouse,Transportation Facility,,,outside formans office,1
20 The Queensway,M6R 1B4,308977.64,4833055.594,-79.44802831,43.63943669,79,TTC - Roncesvalles Division,Transportation Facility,,,Traffic Office,1
20 Starview Lane,M9M 3B2,302045.012,4842808.609,-79.5340038,43.72723246,80,St. Basil-the-Great Catholic High School,School,,,hallway near gym,1
20 Fordwich Cres,M9W 2T4,299752.807,4842865.819,-79.56245594,43.72773515,81,Thistletown CI,School,,,Outside Main Office,1
21 Alness St,M3J 3H3,307078.059,4847606.493,-79.47151258,43.77042178,82,Alness Yard,Industrial Facility,,,Main enterance,1
21 Panorama Crt,M9V 4E3,298218.251,4844930.839,-79.5815292,43.7463112,84,Rexdale Employment  & Social Services,Office,21,STE,Reception,1
22 Arcade Dr,,303296.893,4838407.189,-79.51845154,43.68761695,85,Westmount ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
24 Mountjoy Ave,M4J 1J6,318443.264,4837662.954,-79.33059278,43.68079624,88,Greenwood SS,School,,,Outside Office,1
25 Janray Dr,M1G 1Y2,327429.131,4846744.327,-79.21876162,43.7623208,89,St. Barbara Catholic School,School,,,Main Entrance Outside Office,1
25 Mendelssohn St,M1L 0G6,322472.682,4841462.455,-79.28049189,43.71491154,90,Warden Hilltop CC,Recreation or Sports Facility,,,Reception,1
25 Forest Manor Rd,M2J 1M4,317418.377,4847687.935,-79.34307003,43.77105134,91,Forest Manor JMS,School,,,Outside Main Office,1
27 Front St E,M5E 1B4,314850.871,4833948.016,-79.37521746,43.64741388,95,St. Lawrence Centre - Arts,Entertainment Facility,,,Bluma Appel Theatre,1
28 Colonel Samuel Smith Park Dr,M8V 4B7,303448.789,4828134.457,-79.51654204,43.59514991,97,Father John Redmond,School,,,Outside Main Office,1
29 St Dennis Dr,M3C 3J3,318346.4,4841790.39,-79.33169059,43.71794928,98,Dennis R. Timbrell Resources Centre,Recreation or Sports Facility,,,Reception,1
29 Lascelles Blvd,,312864.888,4839401.81,-79.39975442,43.69652865,99,TTC - Davisville Carhouse,Transportation Facility,,,outside formans office,1
30 Sewell's Rd,M1B 3G5,327602.663,4851883.789,-79.21638943,43.80857633,100,Malvern RC,Recreation or Sports Facility,,,Reception,1
1 Transfer Pl,M1S 5H8,325496.666,4850537.317,-79.2426169,43.79651833,1,Scarborough Transfer Station,Industrial Facility,,,Scale House,1
1 Hanson St,M4J 1G6,319073.92,4837496.879,-79.32277189,43.67928073,3,Monarch Park CI,School,,,Outside Main Office,1
1260 Dufferin St,M6H 4C3,309681.683,4836154.136,-79.43927386,43.66732359,626,Wallace Emerson CC,Recreation or Sports Facility,,,across from reception,1
1501 Albion Rd,M9V 1B2,298113.632,4844192.007,-79.58281539,43.73965113,652,Albion Arena,Recreation or Sports Facility,,,Arena - East Entrance,1
701 Gerrard St E,M4M 1Y4,316976.51,4836009.154,-79.34882214,43.66593515,529,Eastdale CI,School,,,Outside Main Office,1
789 Don Mills Rd,M3C 1T5,317876.362,4841861.601,-79.33751875,43.71859037,552,Application Centre - Social Services,Office,9,FLR,Health Room,1
901 Cosburn Ave,M4C 2W7,319806.538,4839425.209,-79.31363522,43.69663194,574,East York Curling Club,Recreation or Sports Facility,,,Main Stairwell,1
1000 Finch Ave W,M3J 2V5,307308.783,4847464.361,-79.46864733,43.76914165,583,TPS - C - Toronto North,Law enforcement agency,,,Booking Office,2
401 Alliance Ave,M6N 2J1,305956.465,4837237.092,-79.48546367,43.67708617,459,401 Alliance-TDSB,School,,,N/A,1
495 Jarvis St,M4Y 2G8,314620.28,4836041.471,-79.37803808,43.66626079,479,Jarvis CI,School,,,N/A,1
570 Wilson Ave,,308712.43,4843574.324,-79.4512368,43.73411172,497,TTC - Wilson Carhouse,Transportation Facility,,,Formans office,1
5 Exbury Rd,M3M 0A8,305311.594,4843125.9,-79.49345429,43.73008525,509,St. Conrad Catholic School,School,,,Outside Main Office,1
250 University Ave,M5H 3E5,313898.147,4834280.842,-79.38702185,43.65042205,379,TTC - Osgoode Station,Transportation Facility,,,Osgoode,1
305 Rumsey Rd,M4G 1R4,315245.869,4841416.331,-79.37017668,43.71463222,403,Northlea Elementary   Middle School,School,,,Outside Main Office,1
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,431,Toronto Zoo (Security),Entertainment Facility,,,Indo Pavilion,10
150 Tapscott Rd,M1B 2L2,326879.485,4851299.904,-79.22540187,43.80334254,306,Lester B Pearson CI,School,,,Across from Library Entrance,1
175 Brian Dr,M2J 3Y8,318152.475,4849516.359,-79.33390644,43.78749636,330,Pleasant View JHS,School,,,Outside main office,1
400 Greenwood Ave,M4J 4Y5,318377.012,4837324.421,-79.33142294,43.67775016,451,TTC - Greenwood Carhouse,Transportation Facility,,,Outside Formans office ET-C6,5
155 Bonis Ave,M1T 3W6,321411.818,4849271.615,-79.29341717,43.78522767,316,TPL - Agincourt District,Library,,,3rd Checkout Desk,1
171 Pellatt Ave,M9N 2P5,303211.796,4841368.496,-79.51951702,43.71427297,329,Pelmo Park CC,Recreation or Sports Facility,,,Reception,1
200 Old Sheppard Ave,M2J 3L9,318759.545,4848764.97,-79.32638305,43.78072188,342,St. Gerald Catholic School,School,,,O/S Main Off - RHS Main Doors,1
225 Confederation Dr,M1G 1B2,328367.187,4846205.175,-79.20713494,43.75743882,369,Cedar Ridge CC,Recreation or Sports Facility,,,Outside office area,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,260,Go Transit - Exhibition Station,Transportation Facility,,,main common area,14
130 Lloyd Manor Rd,M9B 5K1,300416.39,4836242.908,-79.55416474,43.66812499,289,John G. Althouse CS,Recreation or Sports Facility,,,Outside CS office,1
60 Queen St W,M5H 2M3,314322.726,4834469.244,-79.38175521,43.65211245,179,TPS - C - Old City Hall,Law enforcement agency,,,Supervisor Area - Main cells,3
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,607,TTC - Hillcrest Complex,Transportation Facility,,,Duncan Shop 1st floor,10
370 Danforth Ave,M4K 1N8,316690.146,4837315.827,-79.35234449,43.67770139,438,TTC - Chester Station,Transportation Facility,,,Chester,1
63 Pharmacy Ave,M1L 4S9,322200.777,4839187.539,-79.2839401,43.69444113,182,Oakridge CRC,Recreation or Sports Facility,,,Reception,1
74 Wellesley St W,M5S 1C4,313747.119,4835838.585,-79.38886789,43.66444545,205,St. Joseph s College,School,,,Outside Main Offie,1
91 Barrington Ave,M4C 4Y9,320780.239,4838888.478,-79.30157128,43.6917807,228,Secord CC,Recreation or Sports Facility,,,Main Enterance,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,250,Exhibition Place Grounds,Convention Facility,,,Queen Eliz - Exec Offices,14
35 Vanley Cres,M3J 2B7,307140.147,4846641.106,-79.47074561,43.76173191,114,Dufferin Transfer Station,Industrial Facility,,,Scale House,1
42 Mercury Rd,M9W 3H5,297418.704,4842123.119,-79.59141781,43.72103086,137,Flagstaff ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
51 Parliament St,M5A 2Y5,315904.847,4834453.786,-79.36214224,43.65195139,164,TPS - 51 Division,Law enforcement agency,,,Booking Hall,2
3159 Birchmount Rd,,320027.302,4851804.31,-79.31054775,43.80805427,755,Kidstown ODP,Outdoor Seasonal Facility,,,Pool Office,1
4200 Yonge St,M2P 1N9,312159.72,4845270.868,-79.40842296,43.74936562,779,Don Valley Golf Course,Outdoor Seasonal Facility,,,Right of the Bar,1
5160 Yonge St,M2N 6L9,311740.241,4847434.681,-79.41360405,43.76884664,804,TTC - 5160 Yonge St.,Transportation Facility,9,FLR,9th floor kitchen,3
5700 Bathurst St,M2R 3N4,309269.267,4848259.985,-79.44428605,43.77628552,813,EMS - District 5,Emergency Services,,,2nd FL By Elevator,2
1967 Ellesmere Rd,M1H 2W5,326108.065,4848208.646,-79.23511108,43.77554037,691,Scarborough Centennial CRC,Recreation or Sports Facility,,,Ice Galaxy,2
2450 Birchmount Rd,M1T 2M5,320812.76,4849268.418,-79.30086011,43.78521205,718,Stephen Leacock CI,School,,,Main Foyer,1
2920 Lawrence Ave E,M1P 2T8,324742.522,4845910.81,-79.25215917,43.75489511,746,Bendale Acres,Medical Facility,,,Main Lobby,1
16 Shaftesbury Ave,,313589.397,4837822.088,-79.39079202,43.68230153,622,TTC - Summerhill Station,Transportation Facility,,,Summerhill,1
1435 Royal York Rd,M9P 3A7,302594.253,4838186.277,-79.52716621,43.6856265,648,All Saints Catholic School,School,,,Outside Main Office,1
781 Victoria Park Ave,M4C 5S8,321771.896,4839268.305,-79.28925815,43.69517799,549,Dentonia Park Golf Course,Outdoor Seasonal Facility,,,Pro Shop,1
925 Albion Rd,M9V 1A6,299743.206,4843726.107,-79.56258364,43.73547907,575,Thistletown Seniors  Centre,Recreation or Sports Facility,,,Reception,1
1000 Jane St,M6N 4E2,304778.497,4837961.761,-79.50007302,43.68360967,585,Scarlett Woods Golf Course,Outdoor Seasonal Facility,,,Pro Shop,1
420 Bloor St E,M4W 1H4,314687.287,4836734.474,-79.37719433,43.67249778,460,TTC - Sherbourne Station,Transportation Facility,,,Sherbourne,1
529 Vaughan Rd,M6C 2R1,309886.802,4838787.996,-79.43670608,43.69103029,483,Vaughan Road Academy,School,,,Outside Main Office,1
600 Morrish Rd,M1C 4Y1,330882.114,4850176.868,-79.17571109,43.79310442,507,Cardinal Leger Catholic School,School,,,Main Entrance Adjacent Atrium,1
255 Dundas St W,M5T 2W5,313680.155,4834701.283,-79.38971759,43.65420902,383,TPS - 52 Division,Law enforcement agency,,,2nd Flr - Elevator,2
320 Horner Ave,M8W 1Z3,302626.917,4829370.748,-79.52672571,43.60627615,407,Horner Avenue Senior Centre,Recreation or Sports Facility,,,Reception,1
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,428,Toronto Zoo (Security),Entertainment Facility,,,Mobile Response,10
146 Ledbury St,,310906.886,4842758.944,-79.4240079,43.72676585,301,Ledbury ODP,Outdoor Seasonal Facility,,,Pool Office - AIR change Room,1
171 Queen St E,M5A 1S2,315133.371,4834661.966,-79.37170203,43.65383653,327,TTC - Queen East Station,Transportation Facility,,,Queen West Side,1
200 Eglinton Ave W,M4R 1A7,312470.973,4840466.317,-79.40462626,43.70611443,349,North Toronto Memorial CC,Recreation or Sports Facility,,,2nd Flr Reception Desk,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,254,Exhibition Place Grounds,Convention Facility,,,Horse Palace- East ring side,14
126 Rathburn Rd,M9B 2K6,301152.93,4835300.655,-79.54502449,43.65964751,282,St. Gregory Catholic School,School,,,Outside Office,1
203 Sackville St,,315893.008,4835261.574,-79.36226931,43.65921415,357,Regent Park South CC,Recreation or Sports Facility,,,Reception,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,256,Exhibition Place Grounds,Convention Facility,,,Better Living Centre - West,14
127 Victoria Park Ave,M4E 3S2,322272.864,4837499.321,-79.28310036,43.67924345,283,Neil McNeil,School,,,near main office,1
24 Rockwood Dr,M1M 3N1,326527.277,4843106.488,-79.23010844,43.72960253,87,Halbert ODP,Outdoor Seasonal Facility,,,Pool Office,1
1 Civic Centre Crt,M9C 2B3,299644.062,4833404.208,-79.56371401,43.6425686,8,1 Civic Centre-TDSB,School,,,N/A,1
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,30,Ashbridges Bay Treatment Plant,Industrial Facility,,,Grit Bldg,7
10 Denfield St,M9R 3H1,300310.169,4837454.161,-79.55548893,43.67901856,46,Central Etobicoke HS,School,,,NA,1
15 Grierson Rd,M9W 3R2,301336.647,4841209.576,-79.54278548,43.71283549,60,Pinepoint Arena,Recreation or Sports Facility,,,Arena - Near Operators Office,2
100 Princess Ave,M2N 3R7,312242.323,4847513.121,-79.40736675,43.76954792,242,Earl Haig SS,School,,,N/A,1
3663 Danforth Ave,M1N 2G2,324173.147,4839561.861,-79.25945772,43.69776162,768,Birchmount Park CI,School,,,Main Foyer,1
725 Bathurst St,M5S 2R5,312058.189,4835643.991,-79.4098118,43.6627127,539,Central Technical School,School,,,Main Building,2
35 Carl Hall Rd,M3K 2B6,306462.998,4844967.208,-79.47916011,43.74666663,115,Downsview Park,Recreation or Sports Facility,,SITE,N/A,1
2900 Don Mills Rd E,M2J 3B6,316959.604,4848896.881,-79.34874146,43.78194088,745,Woodbine JHS,School,,,outside Office,1
800 Greenwood Ave,M4J 4B7,318160.619,4837890.243,-79.33409278,43.68284732,557,Danforth Collegiate & TI,School,,,unit 2,2
350 Morningside Ave,M1E 3G3,329691.837,4848236.195,-79.19059074,43.77567704,418,West Hill CI,School,,,N/A,1
391 Alliance Ave,M6N 2J1,305994.116,4837253.41,-79.48499669,43.67723301,445,TTC - Traction Power,Transportation Facility,,,Training Room,1
155 Culford Rd,M6M 4K6,305819.325,4840443.8,-79.4871598,43.70595073,315,Amesbury Sports Complex,Recreation or Sports Facility,,,Maintenance Office,1
190 Sherwood Ave,,313651.937,4841520.368,-79.38995564,43.71558888,340,Sherwood Park Yard,Industrial Facility,,,Main Entrance,1
201 Copperfield Rd,M1E 5G7,331620.651,4846457.204,-79.16671896,43.75959763,354,FJ Horgan Filtration Plant,Industrial Facility,,,Sub-level 4,3
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,253,Exhibition Place Grounds,Convention Facility,,,Ricoh Coliseum -East Concourse,14
121 Industry St,M6M 5B6,305300.667,4839052.991,-79.49359609,43.69343218,278,TTC - Mount Dennis Division,Transportation Facility,,,Traffic Office,2
20 Covington Rd,M6A 3C1,310246.529,4842095.865,-79.43221107,43.72080252,77,TPL - Barbara Frum and CC,Library,,,Lobby,1
